free_text,n_labels
Giáo án cc gì đây,2
Giáo án về One champ Lee bú đá và rụng mất xác,2
Giọng anh trung B52 thánh thót vãi lồn,2
Giống abe vailon,2
Hau Nguyen con cặc :v,2
Hieu Trung ưng vcc mà,2
Hqa mới ngửi mùi của sena nên nghiện mùi đit. Hả thầy=))),2
Hài vcl. Buồn mà xem video của Thầy là muốn tự tử :)),2
Hán hoá từ từ,2
Hít hết mẹ r còn đâu :))))),2
Hải Đăng t gọi tường gió oánh bỏ mịa bây giờ :((,2
Họp thò thụt,2
K phải khen chứ phim dỡ vkl,2
Khó vẽ nụ cười,2
Kick nó đi Abe,2
Lee Sin lol mẹ giáo án kiểm soát của thầy Tú,3
Lol này cây vô đầu nó mới sợ :),2
Loại nghiện game + săm trổ k có tương lai đâu nha,3
Lx má cười ỉa :))),2
Làm riết thấy chán. Lên cao thủ lẹ đi ông già,2
Lưu Bảo Toàn đọc hại não vcl,2
Lại Hợp Sâm clm đến v thì /ff,2
Lại Hợp Sâm wtf ?????,2
Lồn ba rọi,2
M tính chơi bê đê à,2
Mini Tae cai l,2
Mini Tae dơ vcl,2
Má dơ vl =))),2
Má nó dơ vler 🤣🤣🤣,2
Mình đang tìm một con bò đặc điểm nhận dạng nó kêu cực kì thuyết phục nha có hậu tạ :;),2
Nghe giọng lứng quá,2
Nghe giọng lứng quá abe,2
Nghe giọng mà n*ng hết sức :))))),2
Nghe giọng nứkg quá Abe :)),2
Nghe như bị hiếp dâm vậy đó :)),2
Ngoài những giáo án xịn sò thì đây là những gì anh em ta sẽ tiếp thu được từ thầy. Cám ơn thầy và xin đuỵt mọe thầy =))),2
Nguyen van Giang thắng tới nơi sủa bậy,2
Nguyễn Hoàng Sâm lồnnn Sâm,2
Nguyễn Huỳnh Bạc yêu cl,2
Nguyễn Quang Huy thăng l nào chế cái này @@,2
Nguyễn Sơn tđn ghét thầy ba thế à mà tút cu nào cũng thấy cmt :)))),2
Nguyễn Thanh cái này dơ hơn,2
Nguyễn Thịnh như con đĩ quái thai. Bổ xug thêm con cu nưa nhé. Trứng hơi to 😁😁😁,2
Nguyễn Tài koi ccc bn,2
Nguyễn Đăng Khoa thg học trò l này :))),2
Nguễn Trường vcl intro,2
Ngáo thế,2
Ngửi cho tỉnh đi 3 Gòa,2
Nhìn như con bóng lải cái 🤣,2
Như 2 giọt nước luôn thầy ơi. Trinh giọt nước suối còn thầy giọt nước cống thầy ạ =))),2
Như con bóng dạ.:)),2
Non quá thầy ơi,2
Nó chuẩn bị dizz thầy thật r thầy Ba ơiiii =))),2
Nó xui vl,2
"Nói thầy ngáo thì mấy đứa nó lại tự ái , híc",2
Nản ba gà thật sự,2
Nứng nứng nứng à,2
Oke Hasagi chết mọe đi 💀,2
Phim dở vl,2
Phá sản r làm đĩ đực thôi abr,2
Phát Thịnh thầy tui như thằng xì ke.,2
Phúc Hưng clm :))),2
Phạm Nguyễn Cát Vy cljv con,2
Phạm Văn Đại đjs :v,2
Quan chức lương thì cũng như ta thôi. Nhưng ng nào ng nấy khi lên làm quan toàn nhà lầu xe hơi. Lạ.,2
Quang Minh best xiaolin :v,2
Quang Minh cái lồn má,2
Quang Minh xạo lồn vừa phải 🤣🤣🤣,2
Quân Anh dơ v bro,2
QuânAnh dogy chứ,2
Rank Việt Nam mà yasuo tt6 tt5 thì del phải người Việt Nam r,2
Rút kinh nghiệm là lại đc sài nghìn tỷ .,2
Sela tuổi gì với abe :))),2
TPhcm có chợ nổi,2
Thanh Trẻ Trâu đm :)),2
Thanh Trẻ Trâu đm :)))),2
ThanhHuy Nguyen dơ vcl=))),2
Thân? Chửi học trò như 1 con chó... Thương cái lồl..,2
Thôi dmm khỏi làm đi. Để dân bọn tao đi ô tô khách cũng dc.,2
Thôi ồn im mẹ mồm đi 😆😆,2
Thầy cởi quần thịt luôn,2
Thầy em là phải hơn. Nhưng ngu hơn ă🤧,2
Thầy lol chúc chỉ có rớt,2
Thầy làm như vậy là chết cdm tụi em ròi,2
"Thầy lồn được cái sủa dơ, yêu thầy <3",2
Thầy xạo lol . 🙂,2
Thằng Trung có con *** to lắm,2
Thối nát,2
Tiền đâu mua thầy ơi áo đắt vãi đái,2
Toàn giáo án lủng mà cứ dựng lonnn là sao=)))),2
Toàn giáo án máu lồn chảy ngược,2
Trung bá zoe,2
Trung nút vàng bá dơ,2
Trung đái dầm,2
Trym to,2
Trèo cao ngã đau nhé thầy ngu,2
Trông thầy giống bê đê vcl :))),2
Trường hợp này có cho tao cũng đéo húp Levi said,2
Trần Ngọc Dương dm het fan cung roi nha,2
Trần Trung Tín vãi lồn kkk,2
Trẻ trâu,2
Trọng lú,2
"Tuổi 17 bẻ gãy sừng trâu, lên 18 thì càng lên level. Đề nghị các bạn đái nhẹ, ị khẽ, địt duyên! Khéo lại bể tường... 😓😓😓",2
Táng chết cha tụi mày lũ học trò l :)),2
Tùng hỏng :)))),2
Tú là con đĩ của aBe hãy gọi aBe là Daddy điiiiii,2
"Tú said:"" cho cái lồn nè anh Ba"".",2
Tưởng k có tuổi vs vong ba gà,2
"Tại kỉ năng xạo loz của thầy tăng lên , nên học sinh chăm chỉ hơn á thầy 😁",2
Tối Thầy stream đá phò đi thầy ơi,2
Tử hình,2
Vailon :)),2
Vc,2
Vl,2
Vãi,2
Vải lờ thầy😂😂😂,2
"Về chính trị, chúng tuyệt đối không cho nhân dân ta một chút tự do dân chủ nào.",2
Xem bực mình thêm,2
Yêu Thầy Ba vãi cẹt 😚,2
abe dạo này nóng quá à hoong quạo nha abe . số abe nó mở ra zị thôi chửi cc nè abe,2
b52 ơi lứng quá B52 i,2
bóng đỏ !!!,2
chán luôn,2
con chó phải không,2
con di~ dang hang leo rank,2
cà khịa t chém,2
cái mỏ l*n trong làng hài khẩu nghiệp!,2
cái địt con mẹ m,2
dnn thay ba nhieu hok tro` tot vc :L)),2
fan cứng?? thầy lồn cho tao fan cứng chúng mày ạ .. yêu thầy dấu bé ba = )),2
già mà non :)),2
hard làm cc gì nưax thầy. Cứ đanh Man Phi Te như vậy là ok rồi. Chắc chắn lên vcsA,2
hôm nay tiểu sẽ sống chết vs concac abe,2
k rãnh loz làm gì lên xem abe,2
kay vờ lờ.,2
khôn thế thầy lòn :)),2
lz ma no do =)),2
muon tan 1 phat vao mat,2
múa như cái biệt danh Susan : Chó :)),2
nghe mắc i* quá abeeee,2
nhin`nha` que vl 😒,2
như buồi thầy ạ :)),2
này là del có tí nhân phẩm nào nên nó thế :((,2
"nữ sinh chạm vào mà CA đi tù 9 tháng, CA chạm vào má chị bán hàng rong chảy máu tạm đình chỉ =]]z báo còn viết thêm chị ấy chăn dắt ăn xin mới ghê",2
sale cc à thầy 😆😆,2
thầy mà là gia cát gì gia heo thì có =)),2
thầy nhớ mang vinh quang về - nghệ sĩ hài hước clm,2
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2
tr ơi nhìn thầy giống con póng quá à.,2
vãi l =)),2
xem giọng cười mình lại chán đéo muốn nói 🤦,2
Ông Thầy này muốn ngủ gầm cầu lắm rồy nè !!!!!!,2
Đc ván hay ông giáo gáy khét vc=)) 🥰,2
Đuổi mẹ nó đi thầy,2
Đéo làm even nho nhỏ giải nghiệp đi abe :)),2
"Đúng nghĩa "" Bóp Dái Cả Team"" Thầy đánh ntn Lủng hết rồi.",2
Đơm chết mẹ nó liền :)),2
Được vl luôn abe ạ,2
Đập sắp mặt sena thầy ơi,2
Đập đá ít thôi thầy,2
Đậu má thầy ok chưa ?,2
Đẹp trai . Tài năng . Tư duy đỉnh cao . Call team tốt và nhiều phẩm chất tốt khác nữa là những gì thầy đều có . Sena 1 người thầy hoàn hảo . Còn thằng ngu 3 gà thì chịu cái gì cũng k có,2
Đẹp trai như thầy thì đ có ai mua ?,2
Đồ Uyển Đình Ngọc dcm=)) chai sting vô đầu nha,2
Đức Mạnh Cứng clmm,2
đíu tin được luôn =)))))))),2
đút vào mồm thầy,2
Ơ tưởng thầy chơi gay 😢,2
ấu dâm vãi lz hèn dì cô phương linh bốc phốt =))),2
