free_text,label_id
quan_va . dan nhu phai ton phap luat . khong thuen vi mot ?,0
chúc abe 20 - 10 vui_vẻ,0
ko vốn vay fdi đút_túi ?,0
nhẹ lương nhường thất_nghiệp : ) ),0
b52 if_j97,0
chào anh_em,0
diệp_gia_nghi_nghiệp quật m chết bh,0
"duy_khương nghi cách_ly điểu trị , xét_nghiệm , chết khám_nghiệm kết_luận virus , đường đeo khẩu_trang bọn đấm mặt điều_trị",0
9x5 = 55 ôg a già 😆,0
trương_duy ko mvp đội mvp đội : ) ) ),0
video bro 😄,0
lắm,0
du_học_sinh úc_cơ = ) ),0
ôi vãi a quang : v,0
chờ_đợi 17 nồi bánh_chưng đc fan cứng cmt kh ko ga,0
🙂,0
giúp e làm_đẹp . e ko . ko khả_năg nhưg đẹp e,0
thu_boo xuất_sắc ... mấy kia buồn 🤣 🤣 🤣,0
"hoan_nghênh trần_dần tư_tưởng tiến_bộ , chống cộng_sản việt_nam . quên đi quá_khứ yêu_thương . già lo tu thân sám_hối lựa_chọn . chúc trần dần sống 130 khỏe đẹp_lão .",0
mấy thằng già làm_bộ_trưởng đầu_óc thua 1 nông_dân,2
võ_thành nhân huyền_thoại : ( (,0
sương_mù thiên_tai !,0
cô_đơn lắm,0
thế_e phù_thuỷ r nam s a 😆,0
uầy cưng phán vl a ưi = ) ) ),0
maruko_linh,0
ảnh video superheroo buồn não ruột - __ -,0
tik,0
bavi : ) ),0
chủ ? ? ?,0
minh_mẫn vcl,1
bòn chặt ko nha = ) ) ) ) ) ) ),0
cực_kì thuyế ... hác xì ... . chết mẹ . .,0
lee_quang toàn nhạc bùi tuấn ! hà_anh tuấn ! mấy ko thấm nổi,0
nguyễn_trọng thái người_ta đợi đợi lone . đợi thiệp hồng,0
"độ , tết chả vui",0
1 số_thành_phần hà_nội kì_thị dân vĩnh phúc . bh_sao mấy ngừoi lây nhể,0
huy_hoàng = ) ),0
thảo ng thua dốt av qa : v,0
😞,0
jack,0
3 ê 3_ trai gái,0
vợ cuốc sư bùi_kim_thành vợ_nhỏ lisa phạm,0
cắm đầu 4 sừng bảo y_như : ( ( ( (,0
éo nha liu liu,1
name ?,0
cận thận ae,0
idol,0
duyên phạm_ghê tr văn_chương hén,0
hoàng_minh,0
trung_magic,0
"tồn_tại đàn bò "" cực_kỳ thuyết_phục "" , sở_thích nhai đi nhai_lại , mục_đích hành_tinh lời_giải_đáp , động_vật_học loài bò lối sống hoang_dâm trụy lạc , động_dục , con_số loài gia_tăng .",2
ck4mk4m mn,0
toyy in4 fb sđt zalo ig hong : 33,0
chữi cứu nhân độ 🤣 🤣,0
nghi_vấn thầy chà_trộn ttbl tu,0
hợp sâm clm v / ff,1
dao chặt đứt kkkkk 🤣 🤣 🤣 🤣 🤣 🤣,0
hồng_thy giọng_điệu hao_hao . . !,0
đồng nhung máy_bay phalcon 10 tỷ belike :,0
pre tài_trợ độ tây hôm = ) ),0
tí tiếp a thanh_le : ) ) ),0
hoàng_anh tư 😁,0
dep trai moi co nhieu dua yeu,0
bt phan cuồng chửi mik ko nêu ý_kiến,0
cộng_sản nhồi_sọ nạo chất bã đầu,2
giọng nứkg abe : ) ),1
bố hơi đấy ' tùng sói said,0
refund top 1 tối phép ea . . blabla,0
trung_giả kim_😂,0
khả_năng tối ngủ đường : ) ) tu bi tờ niu,0
bùn_nhở,0
pháo_thủ toang cmnl @ @,0
bóng khùng bóng điên,1
chục củ hòm csgo êi : v,0
lê_huyền ? sinh_vật hạ_đẳng lam .,2
cao_lãnh làyy,0
nhẹ 3 - 0 ok,0
🙆 🏻 ‍ ♀ ️,0
ặc : ),0
inb đi,0
"goodnow tran lo đi tiết diên mày mắc bệnh , tui cam_đoan dị",0
"minh hiếu duyên hết_sức , nói_chuyện chân_thật , mặc_dù live chửi táo_tợn thánh_thiện chất . chúc vui khoẻ hp . mong dịp",0
dễ_thương duyên . love_cô .,0
lê_thị_bích_hồng tk trẩu,2
nuôi kiểu tóc combo ae,0
chang_chang 🥥 🥥 🥥 🥥,0
nguyễn_trang mị 🤣,0
1 ng giết 1 mạng . 1 ng feed tụt lol,0
pải nổ lực . pải 1 chút gọi may_mắn,0
panda_thái = ) ) ),0
ủng_hộ k - atm,0
thầy,0
giọng vc,0
nguyễn đào_nguyên,0
thua . . k công_khai vn e ngta đón ? ? ? ?,0
ki đi,0
""" sản_xuất "" - _ -",0
hợp_lí,0
đc ui,0
con_người ?,0
bảo dan tri thap tự_ái : ),1
trả_lời thầy,0
trend vẻ mãi chúng_nó chán,0
dầu sôi_lửa bỏng bay kiếm clmn đem bênh nhà_nước nuôi tốn cơm tốn gạo,1
nho hom truoc chui ong me ca nguoi vn la minh biet no bi ma_nhap no truoc bi chet . . . . gao thet kinh hon de truoc xuong dia nguc ... 🙏 🙏 🙏,0
anh_minh chậm cặc,2
reaction thầy,0
đoạn đánh chiếm thgian : ) ),0
"đù dại ghê , bọn đấy phường xiên 1 , đuợc tiếng , khám mấy anh_chị thương , xiên thằng phường sum",1
3 e 200 triệu đi chymmm đi huhuh,0
tóm chửi văn_hoá 😂 😂 😂 👏 🏻 👏 🏻 e page đấy 😂 😂,0
a tiệp :,0
đi đem susan nha thầy : ) ),0
1 tặng quà va len thai mn .,0
giật mẹ mụn ruồi ( :,0
tóm con_gái trai ... 😶 😶 😶 ... bực_mình vl hoài ko 😑 😑,1
đào hà_văn rinaky cn anh_chị cẩn_thận,0
hạn_chế viruss phát_tán phòng 26 độ cơ_bản . cis thể . đọc kĩ viruss corona the trang chính_thống nha,0
bắt đừng chữa nhốt chết ... đừng đẻ trứng ! ! !,2
optimusthree 99 % sức_mạnh,0
: 3,0
hahahaha,0
"ô k bit ak , trần dần mắc bệnh dịch ak ... mắc bệnh nguy_hiểm covid 19 ...",0
đồng_bọn zo tù : ) ) ),0
nguyễn_thị_luận hà_nam : ),0
gáy to mi,0
bảo_tín đi du_lịch ngứa ngứa biển e sợ lắm r,0
"học kiểm_soát bộ_não đi , tiến , ghét bỏ_qua",0
phạm_linh ko co cl,1
qtrong chẳng 1,0
tức diêng idol ngon cơm . tức diêng mắt tai_nghe ko nằm chiêm_bao,0
thương lắm,0
cực_kỳ thu ... .,0
thánh_chửi lãnh_án,0
xe chở súc_vật mong dân ( đề_phòng súc_vật phóng_uế lung_tung vệ_sinh ) .,2
hát j jui giới_thiệu đc ko . jui chẳng hát,0
"chúc anh_em vui_vẻ , an_khang thịnh_vượng .",0
táo_quân thỳ tết,0
"samsung đi bth , đi 1 vui 😜 😜 😜 😜",0
trung đầu l tí đầu lân clg 🤣,2
"chi đep chi , e",0
oh_shjt,1
cáo_từ,0
nhật_long toang . kiểu ni lắm : ( (,0
hiếu bùi sủa dơ,2
ok trung bảnh,0
: ) ),0
ad nói_phét bê_tông đc,0
thuong co,0
tiên_tri ủng_hộ nghị_quyết 36 🤣 🤣 🤣,0
nguyễn_thị_phương ảnh sống ảo đc k ?,0
chào nhà_báo vũ hoàng lân . chào danh_hài vũ_trụ trần tiger : - ),0
ok đẹp_trai : v,0
lan hoa_tùng acc clone đi cmt ... dạo ? ?,0
ăn_bận cac,1
cực_kì thuyết p ... . .,0
nhảy_thế kia nhỡ may tiếp đất ko chuẩn ngã . bảo 1 thằng cõng . : ) ),0
reaction thầy,0
chửi lắm ad,0
chào_nhéee,0
thu_trang,0
đau_đầu vl : ) ),0
mày lồn . bọn đa_cấp đóng thuế gấp chục doanh_nghiệp . tao thằng thớt lồn oan thằng ?,2
thế_cơ_á,0
"day khong phai la nguoi nua , , , tinh_tinh_tinh , ,",1
tks thầy nha_♥,0
ngu lồn đi = ) ) ),1
fan minh hiếu taaaa ❤ ️,0
nguyen_ngoc tam_gia phú 😂,0
tình đồng_chí kiên trung ! sách lịch_sử dạy giặc tra_tấn dã_man mồm,2
dần chớm tình_yêu r đấy,0
toang thầy ơiiii : ) ) ),0
"đéo đừng ng ta nhắc vn gắn "" ăn_cắp "" : ) )",1
nói_chuyện dễ_thương,0
.,0
đồng_lòng thi ko,0
ngưỡng_mộ hihihi,0
báo_công_an đi quản_lý thị_trường hốt luôn_thể .,0
im_mẹ đi thằng mặt lon,2
thằng ad não delay 3 : ) ),2
🤣 🤣 🤣,0
how to đểu vợ : ) ),0
hả mn 😅,0
"ad báo báo quân_đội viết "" - rách ô - - ma "" "" đô - na trăm "" . vãi báo",1
bọn chó sủa bậy,1
thầy tấu hài tuyển_thủ chuyên_nghiệp,0
sếp 🤩,0
bon comcom tác_chiến điện_tử vs nhật_ký yêu dm chúng_mày đọc . tưởng chúng_mày đấy,2
nầy báo “ công ngủ ” ác hồ chỉa mặt ác hồ nầy nè :,2
giận méo_mặt = ) ),0
mv chất_lượng,0
đi khổ : ( (,0
thầy duo levi tú bơ_vơ,0
1 đi,0
chói,0
tự_hào vn 😂,0
khổ_thân độ giải nát mấy anti um ... team buồn . ngày_mai mong cố_gắng,0
yêu ib,0
chu_hoài tạo_hình suốt trend,0
mê trần_duy_hưng cố_gắng ! ! !,0
mấy a tàu,0
sợ : ) ) ),0
xin_phép nhaaaa ! ! !,0
""" nghệ_thuật "" trị_giá 8.100 tỷ vnd hoàng_trung_hải tác_phẩm "" trái chuối "" ... . chuối !",0
nước_hoa đểu xịn : ) ) ) hot_girl méo xấu vkl thề : ) ) ),2
"sam đi cặp , 2 chồng",0
trường_giang no no . đg chỉ_trích ích_kỷ . k ngkhac . bả sống th j,0
", . .",0
chúc_mừng,0
quân tâm ae link bao phê ae,0
thầy đừng mv hát nha thầy . dm mãi yêu thầy,0
1 kịch_bản hợp_lý_hóa xây sân_bay long thành !,0
cổ_động_viên quảng_ninh chất cổ_động_viên hải phòng 💐,0
ô già đi trốn hợp_lý = ) ),0
suni_hạ_linh vid ☹ ️,0
bóng_dơ,2
mai_ánh_thi nha ibx nha,0
tiền đi đường quyền = ) ),0
trần bình_trọng xog = 1k like : ) sống vl : ),1
tiền = ) ),0
đấng nha 3 gà 😎 😎,0
mê,0
"vô_tình , 🤨",0
đặng_thái hoàng_châu dư_âm,0
tú ko 3 blue kết : ) ),0
fan cứng nè,0
", 1 tuyệt_vời độ 🥺",0
i love you to ca mo,0
đumoe nói_leo,1
"pha đánh ám_ảnh lịch_sử điện_ảnh , lưu_truyền thời_đại , biểu_tượng diễn_viên học_tập 🤣 🤣 🤣 🤣",0
đu . má tu . biên tu . diēn luon ...,1
🙃,0
"hoc cc gi ` nua ~ , ve_san voi ma ` kiem an = ] ] z",1
thanh_phương c 1 review đi c,0
đình_quang thô nhưnh = ) ) ),0
abe chiếm_đoạt trái_tim tiểu_tiểu blue tiểu_tiểu abe lol chiếm_đoạt : vv,0
chó ... haizzz,1
bùi_minh huệ crush ưii . 😶,0
minh hiếu nói_chuyện dễ_thương ✌ ️ ✌ ️ ✌ ️ ✌ ️ ✌ ️,0
kiểu,0
uống đi tù,1
đéo kiểu,1
e chúc panda abe iu dấu 20 / 10 vui_vẻ đừng quên xoá kênh,0
đờ mờ cuộc_sống,1
hình_sự sáng_mắt đc !,0
dạo mỹ ko dc an_toàn . súng 🔫 🔫 🔫 tien tri_vậy,0
tộc r fc 🤣,0
khó_chịu vãi 😂,0
ri thor,0
góp vui một_tí : 3,0
1 chút nguyên góp 1 like ảnh đại_diện hong : ) ),0
triệu_hồi phúc nghẹo . . trọng lú,2
"z dân_chúng bớt xoắn thực đấy . ngầm đố . nhà_nước nát bét . đừng mơ nhà_nước , 3 xác_định nghề k liên nhà_nước , tao g",2
ủ_bệnh 14 khả_năng cách_li theo_dõi,0
mặt độ trông buồn_cười vl kiểu bố cầm ms kkk,0
pha xử_lí,0
carô chán 😑 😓,0
đỉnh . nữ_tướng khâm_phục . giá_như việt_nam ! lãnh_đạo thay ntkn đất_nước .,0
dư_luận viên ẳng : v,2
from,0
kì kì . con_trai mẹ liệu mấy 😋 😋 😡,0
lisa_cai lậy 😍,0
tq hắc xì thế_giới rung_chuyển,0
nghiệp bê đê lắm r má,2
trần video,0
yêu thầy dấu bé 3,0
vãi lol a ưi !,0
công_tác bảo_vệ an_ninh . khu_phố vào_cuộc . hình_ảnh đất_nước mấy thằng lưu_manh mất_mặt,2
add e mua mua .,0
hoang_tưởng bậc ! 😁 😂 🤣,0
nguyễn_minh siêu phẩm r đọ,0
phương_minn ngộ_nghĩnh lạ lone ? rõ_ràng cố_tình phốt hàng online : ) ) ) lắm . sống dơ v mua đồ trời .,2
@ chiến trần chuẩn 👌,0
@ yo min : ) ) ) ),0
hình_như 4x : 3,0
chịch xã_giao = ) ) ) ),1
trúc ngân s đi so_sánh dink kout a tê vs đỉnh_cao jack vại ? ? 🙃 🙃 thiệt khập_khiễng vs thiệt_thòi nện đàn dzợ 🙂 🙂 🙂,0
hoàng_kiên chuẩn 🤣 🤣,0
cc nè : ),2
page nói_chuyện chuẩn sợ > . <,0
kinhh,0
quảng_cáo lộ_liễu 😁 😁,0
ló chán : ),0
thôii mấtt hếttt = ) ) ),0
buồn a 😞,0
mong mấy cách_li đừng trốn vui : ) ) ) ) ) đi nhông nhông sợ : ) ) ) ),0
bậy zòi : v trái đi : d đừng : v,0
hợp_lý a ưi 🤣 🤣,0
nguyễn trọng hiệp hiệp bmw 🤣 🤣,0
lười chụp ảnh kiểu chụp trộm,0
thân_hình phụ_huynh gương_mặt học_sinh,0
"câu , ngêu sò tranh , ngư_ông đắc lợi",0
hợp_lí ưiii,0
đinh nguyễn_vươn tuan,0
vũ_mai_ly ui,0
huyền khánh_phùng chả vờ chả vịt : ) ),0
nguyễn_định tui xợ,0
minh_tran uh miền trung bả ko phân_biệt,0
... đi hửi quần xì les,2
đi việt_nam_hàng thập_kỉ,0
chúng_mày thông_cảm ước_mơ hình_sự dòng đời xô_đẩy đi trật_tự giao_thông .,0
hang_vu đú trend roài = ) ),0
thuyết_phục vl,0
"rõ_ràng chức_danh chủ_tịch , ý_thức 😌 ( (",0
"nguyễn_thanh mai_trúc_t cười m , nh làm_việc chuyên_môn ch = ) ) )",0
"nói_dóc , ảo_tưởng con_mẹ tiên_tri 😄 🤣 😂 😂 😂 😃 😂 😭 😢 😘",2
trai người_ta thất_vọng : ) ),0
đợi ei,0
tiêu_chảy .,0
mong bớt hí nha,0
tưởng ngầu,0
chất vãi lìn ơiiiii,0
nguyễn_tuấn phong thương,0
âu số_phận đóng vai thiện đời xô_đẩy ...,0
hi_vọng kế_toán . tết ấm_no thương tụi,0
ngọc_huy học_hỏi idol đầu đẹp nha = ) ) ),0
benben duong,0
trời cưng,0
chui_nua_di_co bo tat ngua,1
nể phóng_viên ! mặt tỉnh_bơ ko biến_sắc,0
vợ mấy : ) ) lớp trưởng nè,0
kia,0
dạo pản động nhiếu mấy bò đỏ ah : d,2
chất vlon a ưii,0
ah 🤣 🤣,0
"cap hơi war nha ! tui chương_trình mấy mấy ? suy_nghĩ , xin_lỗi chương_trình duyên cmt đ duyên dẹp im m * mồm xong ! thân ! !",2
"tiên_tri đấy , 1 phiếu vn 👌",0
khô gà v thầy,0
ngọc bíu ty phun lắm đâyyy,0
thầy tết ghé coi \ .,0
lê_văn tám hư_cấu bacd,0
dân miền tây nam đeo vàng khoe_khoang,0
cưng bã sợ,0
"tiên_tri vũ_trụ múa võ vui kinh nhể , tiên_tri câu : "" súng bắn trúng , dao chém lủng "" tự_dưng cười kinh_khủng ka ka ka . """,0
đm hcm : đường_mòn hồ_chí_minh : v,2
",",0
đinh_phước sống chậm t chửi 👌,0
minh hiếu xuất_sắc nè : ) ) ),0
mời hai ( ca_sỹ tuấn_phong ) đi anh_chị ❤ ️ ❤ ️,0
: ) ) t t dell giám tien s chj 3 xaolol vay toàn trã góp sūa cl : ) ) ),2
trần video,0
"lộc đéo cmt đc yên r . lộc cmt \ "" \ "" bắt gà ... bãi đéo dấu l : ) )",1
thầy kh múa quạt = ) ) ),0
ngô_tấn_hưng nâng trình thầy kéo_trình duke 😂 😂,0
"< ( \ "" )",0
"cảnh tập_trận chống bạo_động đại_hội đảng . tập_trận , sợ dân ta biểu_tình",2
k bỏ_tù bồi_thường thiệt_hại đất_nước mong đc tha_thứ,0
loi kg hai văn,0
ngu m nói_chuyện tg ... đi học lớp mẫu_giáo đi,2
may ý_thức k mấy trốn : ) ),0
nguyễn_đạt k gu bro 🤣,0
đẹp_trai đấy 😆,0
kb ib video,0
"bé bú bố bú , = ) )",0
gà gái phong stream : ( ( (,0
đàn_ông cháu tưởng đàn_ông,0
😞 yêu nguyện ng động,0
tối đi học ko đi nha abe,0
"bố lạy mày đừng "" hiếp_dâm "" thị_giác bố ad 😂 😂 😂",1
nguyễn hoàng hoài_thương,0
đỗ_thuỷ_trinh giông y mạng m 😀,0
toàn dân_công_giáo,0
hóng phim rạp : ) ),0
phạt chê lãnh_đạo kênh_kiệu / ngu / cùi bắp ... xúc_phạm lộ bí_mật quốc_gia .,2
cực_kỳ thuyết_phục ! 😂,0
gay hông ib đi,0
tran dan tien bo. moi gia nhap dcs.,0
e khoe ké,0
okay thả tim 2 : ) ),0
ok a zai : ) ) ),0
gốc tàu chửi trung_quốc ghê,0
cố cố,0
dương_ly nhím = ) ) ) ) ),0
khô gà v thầy,0
phan_quỳnh_anh bóp d ' m,0
chào trở_lại tòi súng vờ lốc : ) ),0
rách háng,0
nổi_tiếng : v,0
súng bắng k chít ... . dao chặc k đức ... tấc nhiêng vi_trùng tô - vít xâm_nhập đc dần_đần . . tui cam_đoan zị . . ơn zời dần_đần món thần_quyền môn . . k tò tí te roày,0
hàng fake,0
động_cơ quyên_góp tiền ?,0
đm ad m óc cức lắm ... đm người_ta khổ đéo rãnh đăng tào_lao m ... m người_ta đc đồng xu cắt bạc ... xạo lồn ... mẹ m sinh m m ngu v,2
nổ chó,1
t đi ngủ 10r đ thể_nào ngủ nổi 🙂,0
công_nhận khẩu_trang ... .,0
kingdom đẳng_cấp hẳn 😎,0
lồn 1 tỷ chùi trời,1
yếu_đuối vl nổi sóng_gió cuộc_đời 😂 😂 😂,0
hợp_lý 😆,0
bút,0
òa thầy_giáo đẹp_trai chu_đáo mê đi,0
khôn đấy . t m trái_đất = ) ),0
nhớ_bả binh lắm,0
sam_sam hậu hoàng ! 🤪,0
? biết_ơn lịch_sử suốt thời 3 đánh nam hán sông bạch_đằng . đừng dám gọi . chúc bác_lượng an_toàn !,2
"chửi "" linh "" ? tự_trọng ?",0
trang hà ghê 🤷 ‍ ♀ ️,0
mệt thầy 😞,0
"vn chia đôi , miền bắc khựa miền nam mẽo , miền trung lào : v",0
hợp_lý nè abe : ),0
cách_ly nhaa m . n,0
tý trôi . . quá_buồn,0
đéo game giải_trí 😂 😂 😂,1
màu rằn_ri ko_b,0
kanh_nè ? ? : d ? ?,0
cứng 🤣,0
dislike mv jack ủng_hộ ây ti_em,0
diễm_ngọc vui đừng vui ! : ) ) ) ),0
lưu bảo_toàn đọc hại não vcl,1
tưởng - bắt_chước trend hồi 1 ngàn 9 trăm hồi,0
đi cháu đi học,0
thầy địt_mẹ giả_tạo vl = ) ),2
đỷ minh hiếu,2
giáo_án ma phi_te thầy bổ_ích .,0
nhungcovid tài_trợ lo = ) ) ),0
hahaha . đĩ nl . 2 sinh cl sình b,2
mỹ_duyên t 😏,0
abe = ) ) ) 1 nhạc,0
lolzzzz,1
mai_quach ok hoa rơi cửa phật 🤷,0
aba đem thế_giới abe,0
yêu 🥰 🥰,0
khối tiền,0
thầy review dùm mông vs .,0
cưng dễ_thương iu,0
gớt nước_mắt,0
chui_lu viet_nam da roi toi chui bac ky . troi ... .,0
"thay_vì hô "" người_ta ăn_cướp "" nạn_nhân hô "" phản_động kìa "" : )",0
bả ti - qui đẹp sợ ! ! ! duyên_dáng hà 👍 👍 👍 👍 👍,0
lây đường đt ko = ) ) ),0
link facebook trần_văn_xuân nè,0
tộc mixi : 33,0
tiên_tri : liệu đại_dịch covid 19 lũ 3 / / / cccđ hải ngoại miễn_dịch ko ? nhiễm dịch lũ 3 / / / sỏ lá đổ lỗi cộng_sản chủ_quan chính_quyền mỹ ?,2
"vay , mua vn hình_thức trả_góp !",0
lí mạc sầu,0
"thằng máu lồn ad , dạo đăng mấy nhảm lồn , đ mua hộp cơm 200.000 vè cắm con_mẹ m cơm , đi xăm xoi lồn",2
mai_thu hoàng chặn cmt kia kìa 😂 😂 . . sợ dịchhhh : ) ) ) ),0
nguyễn_văn_huân,0
bữa khóc_lóc xin_lỗi chửi tiếp hả,0
thuỳ trang nè : >>,0
dễ_thương bé 😌 😌 😌,0
tâm trần ch dừng,0
thầy 1 tuần dùm dầu_gội,0
ảnh,0
hard cc nưax thầy . đanh man phi_te ok . vcsa,0
mấy trại tâm_thần nghịch kiến,2
k chửi linh_lóc,0
mặc_dù rtx 2080 rx580 a e .,0
cuong phan_con dự 2000 đô,0
hải_hà_haha cắcc .,0
máu lồn kêu lỗ lồn .,1
sing hàn_quốc . bằng_chứng ngân cài cắm 9 điệp_viên đoá . 😂 😂 😂,0
thầy_giáo lu vcl giáo lu = ) ) ),0
hàu ob trai cong ko,0
"auto mua , comment mua , chốt đơn đi , nhắn_tin shop ... kakaaaaaaa",0
ae lưu_ý,0
ncc,1
tú_trinh đen dính 😤,0
nguyễn_thị_hương giàu báo giúp,0
gia cát_lồn = ) ) ) ) ),2
"nói_chuyện sản khoái 1000 like ,",0
"xây hẳn resort 4 vườn quốc_gia phát_giác giấy_phép . 8b lê_trực , đền_tổ : ) lạ",0
chúc_mừng thầy nha,0
chu_gia_bảo trả_lời,0
nguyễn_quốc_an giọt suối tinh_khiết,0
công_thức phá_sản = ) ),0
đọc báo xong buồn ĩa đéo đc,1
thuốc_lào đếy : ) ) ),0
hàng nóng,0
ko hoa_hồng ko giỏi phá,0
tội be 🤣,0
ko thuế ng ng xe ô_tô nhà_nhà_xe ô_tô đg méo đi .,0
thu tuyền phan_hợp : ) ) ) ),0
tưởng quảng_cáo thuốc sinh_lực : ) ),0
hoài_giang thành trend kìa,0
this is việt_nam ! ! !,0
anh_em cmt đéo : ) ) ),0
dia chi di_chi,0
sống chậm,0
"hongkong ủng_hộ tq trả_đũa mỹ , hongkong một_mình carrie_lam bộ_sậu tay_sai tq ta , dân hongkong .",2
suc vat,1
đinh_phước mấy căng : <,0
trần video,0
"vây , , , ko tân hiệp_phát",0
đỉnh cao_trí_tuệ vn,0
sela k dừng ❤ ️,0
hư trúc mộ dung phục,0
phê to phê 🤣 🤣,0
ngủ đất : v,0
this is vietnam ! ! !,0
nguyễn hoàng j v,0
nguyễn hoàng_sâm_fbi,0
k vb,0
tiên_tri vũ_trụ ngon cơm .,0
minh_nguyen sập_tiệm mẩy thất_nghiệp 1 time,0
khai_giảng chụp ảnh điểm_danh,0
tuyển_thủ team chuyên_nghiệp pubg vn thế_giới : ) ),0
du_học_sinh ma_cao tắt nắng,0
ok 2 giọt,0
cháu hư cháu 😥,0
clg sảy 😶,1
linda 😞,0
. ❤ đợi nãy h ... h cười xĩu,0
"lối_thoát , tiến k , lùi xong",0
cutee ❤ ️,0
hay_ho đéo j . câu like facebook,2
lan hoa mấy đứa suốt bảo người_ta đạo đời núp bóng 🙂,2
chúc_mừng,0
lê nhật_khoa đem cmt lộc sting : v,0
gửi thầy : ) ),0
ngọc cười xỉu khúc,0
dubai coi bảng giá dội hàng liền ... hyundai i20 ân_độ $ 9000 vn 650 triệu ... ! mua 1 chiec xe cúng chúng_nó 1 xe . . kn,0
hôm_nay đổi tiền chịu_khó mai anh_em bay,0
bình_tĩnh,0
hoàng_tử : vvv,0
congrats,0
catherine yangyến đỗ_a thề a ứ bệnh nha . a đi,0
biển team up mở_rộng nuôi tôm k,0
so_sánh khập khểnh hả thầy 😂,0
mưa_gió bão_bùng,0
cội_nguồn ... nét đẹp bản_sắc văn_hóa miền ... ^ _ ^,0
😜 😂 😂,0
tuyển e dí l mạt ngkhac,2
high fashion lắm,0
hàn k kiểu_dáng vn ý_nghĩ ghê_gớm,0
= ) ) like,0
a_di_đà phật : ) ) ),0
ng pháp huhu buồn 😢 ko coi buồn 😭 😭,0
đc vái l ưiii,0
vại e sai ... pk,0
"thành vinh page gà , liên_hệ",0
dễ_thương ... i love you gờ cu ❤ ️ 🥰,0
chúng_mày ko nhịn tham_ô cửa_quyền đi .,2
nhân kiểu tày,0
diễn hài mua_vui . đừng chửi .,0
chất tiền đoán 2017 xe 2018 xe 2019 xe tiền đoán chúc 2022,0
9 đc máu :,0
"mom to ne , no ngam cuot phun cay canh , tot cay lam cac bac a",0
khánh_bánh . 🙂,0
minh hiếu dễ_thương . = ) ) ) ),0
trần_dần 2022 việt_nam 1 tỉnh tq trần_dần ?,0
ae 3 / / / cố_gắng dịch nha . chết chôn tập_thể . 3 / / / chết ko cứt mỹ .,2
